Comment,Designator,Footprint,LCSC,Quantity
10u,C69,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
TestPoint,MUXOUT_2,TestPoint_Pad_D1.5mm,,1
150,R9,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
TestPoint,TP11,TestPoint_Pad_D1.0mm,,1
TestPoint,TP19,TestPoint_Pad_D1.0mm,,1
Jumper_2_Open,JP1,PinHeader_1x02_P2.54mm_Vertical,,1
~,U7,tsy_83ln+_amplifier,,1
10k,R29,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
MountingHole_Pad,H4,MountingHole_3.2mm_M3_DIN965_Pad,,1
~,U9,tsy_83ln+_amplifier,,1
68,R21,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
150,R10,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
~,U6,tsy_83ln+_amplifier,,1
TestPoint,TP17,TestPoint_Pad_D1.0mm,,1
~,U3,tsy_83ln+_amplifier,,1
Pico,U1,RPi_Pico_SMD_TH,,1
MountingHole_Pad,H6,MountingHole_3.2mm_M3_DIN965_Pad,,1
10u,C39,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
R,R63,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
R,R62,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10k,R43,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
GR,R61,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
R,R64,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
1k,R66,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10u,C53,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10u,C50,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
100k,R41,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
1u,C55,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10u,C63,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10u,C52,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
1u,C60,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
1u,C38,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
1u,C61,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
1u,C54,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10k,R56,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
R,R52,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
GR,R47,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
100k,R33,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
33k,R67,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
1u,C32,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
NPN,Q7,SOT-23-3,,1
10k,R54,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
R,R48,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10u,C29,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
33k,R71,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
NPN,Q8,SOT-23-3,,1
10k,R42,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
1u,C80,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
GR,R59,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10u,C27,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10u,C51,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
100k,R40,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10u,C40,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10k,R55,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10u,C28,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
100k,R34,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
1u,C37,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
GR,R46,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
1k,R70,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
150,R72,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
R,R65,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
R,R53,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
GR,R58,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10u,C30,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10u,C64,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
GR,R50,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
1u,C33,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10k,R57,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
GR,R51,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
GR,R60,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
R,R49,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
150,R68,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
